2025-08-17 23:24:48.503 [main] INFO  c.b.dynamic.datasource.DynamicRoutingDataSource - dynamic-datasource - add a datasource named [master] success
2025-08-17 23:24:48.503 [main] INFO  c.b.dynamic.datasource.DynamicRoutingDataSource - dynamic-datasource initial loaded [2] datasource,primary datasource named [master]
2025-08-17 23:24:48.528 [main] INFO  c.g.y.a.MybatisPlusJoinAutoConfiguration - MPJSqlInjector init
2025-08-17 23:24:50.551 [main] WARN  o.s.c.l.c.LoadBalancerCacheAutoConfiguration$LoadBalancerCaffeineWarnLogger - Spring Cloud LoadBalancer is currently working with the default cache. While this cache implementation is useful for development and tests, it's recommended to use Caffeine cache in production.You can switch to using Caffeine cache, by adding it and org.springframework.cache.caffeine.CaffeineCacheManager to the classpath.
2025-08-17 23:24:51.372 [main] INFO  com.maxinhai.platform.MdmApplication - Started MdmApplication in 5.733 seconds (JVM running for 6.207)
2025-08-17 23:25:16.768 [Thread-6] WARN  com.alibaba.nacos.common.notify.NotifyCenter - [NotifyCenter] Start destroying Publisher
2025-08-17 23:25:16.768 [Thread-1] WARN  com.alibaba.nacos.common.http.HttpClientBeanHolder - [HttpClientBeanHolder] Start destroying common HttpClient
2025-08-17 23:25:16.768 [Thread-6] WARN  com.alibaba.nacos.common.notify.NotifyCenter - [NotifyCenter] Destruction of the end
2025-08-17 23:25:16.770 [Thread-1] WARN  com.alibaba.nacos.common.http.HttpClientBeanHolder - [HttpClientBeanHolder] Destruction of the end
2025-08-17 23:25:16.918 [SpringApplicationShutdownHook] INFO  c.b.dynamic.datasource.DynamicRoutingDataSource - dynamic-datasource start closing ....
2025-08-17 23:25:16.918 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - slave - Shutdown initiated...
2025-08-17 23:25:16.923 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - slave - Shutdown completed.
2025-08-17 23:25:16.923 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - master - Shutdown initiated...
2025-08-17 23:25:16.928 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - master - Shutdown completed.
2025-08-17 23:25:16.928 [SpringApplicationShutdownHook] INFO  c.b.dynamic.datasource.DynamicRoutingDataSource - dynamic-datasource all closed success,bye
2025-08-17 23:25:21.739 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.5.Final
2025-08-17 23:25:21.747 [main] INFO  com.maxinhai.platform.MdmApplication - Starting MdmApplication using Java 11.0.26 on DESKTOP-8Q1FO7G with PID 8992 (C:\JavaProject\cloud-platform\cloud-platform-mdm\target\classes started by MaXinHai in C:\JavaProject\cloud-platform)
2025-08-17 23:25:21.748 [main] INFO  com.maxinhai.platform.MdmApplication - No active profile set, falling back to 1 default profile: "default"
2025-08-17 23:25:23.019 [main] INFO  com.zaxxer.hikari.HikariDataSource - master - Starting...
2025-08-17 23:25:23.083 [main] INFO  com.zaxxer.hikari.HikariDataSource - master - Start completed.
